member_casual,day_of_week,number_of_rides,average_duration
casual,Sunday,170173,3371.1116922190945
casual,Monday,101489,3269.9933588861845
casual,Tuesday,88655,3444.7970334442502
casual,Wednesday,89745,3620.043980166026
casual,Thursday,101372,3597.0673558773624
casual,Friday,121141,3610.5366391230054
casual,Saturday,208056,3243.666623409082
member,Sunday,256234,924.1741103834776
member,Monday,458780,854.9570316927503
member,Tuesday,497025,849.1555193400734
member,Wednesday,494277,828.5906849802843
member,Thursday,486915,826.7875111672469
member,Friday,456966,833.8486561363427
member,Saturday,287163,978.1623050323335
